file_name,delay_introduced,failure
file_7.txt,False,False
file_6.txt,False,False
file_4.txt,False,False
file_18.txt,False,False
file_19.txt,False,False
file_5.txt,False,False
file_1.txt,False,False
.DS_Store,False,False
file_20.txt,False,False
file_2.txt,False,False
file_3.txt,False,False
file_12.txt,False,False
file_13.txt,False,False
file_11.txt,False,False
file_10.txt,False,False
file_8.txt,False,False
file_14.txt,False,False
file_15.txt,False,False
file_9.txt,False,False
file_17.txt,False,False
file_16.txt,False,False
